,id,name,age,height,weight
0,8859,Ragnheiður Sara Sigmundsdottir,27,173 cm,69 kg
1,18588,Annie Thorisdottir,30,170 cm,152 lb
2,120480,Kristin Holte,34,162 cm,59 kg
3,163097,Tia-Clair Toomey,26,163 cm,58 kg
4,264512,Jamie Simmonds,29,163 cm,135 lb
5,305891,Kari Pearce,31,63 in,139 lb
6,239442,Emma McQuaid,30,165 cm,65 kg
7,103389,Carol-Ann Reason-Thibault,32,164 cm,142 lb
8,698210,Karin Freyová,25,170 cm,72 kg
9,591912,Laura Horváth,23,170 cm,70 kg
10,168305,Brooke Wells,25,66 in,150 lb
11,2942,Kara Saunders,30,162 cm,162 lb
12,2088,Camilla Salomonsson Hellman,29,165 cm,69 kg
13,310687,Kristi Eramo O'Connell,31,62 in,132 lb
14,262746,Kendall Vincelette,26,62 in,127 lb
15,109085,Andrea Nisler,31,66 in,154 lb
16,764556,Gabriela Migała,21,170 cm,75 kg
17,670000,Dani Speegle,26,66 in,168 lb
18,280780,Kristine Best,30,63 in,138 lb
19,120247,Katelin Van Zyl,28,171 cm,68 kg
20,430191,Alanna Fisk Colón,28,59 in,135 lb
21,115239,Brooke Haas,31,63 in,154 lb
22,55121,Katrin Tanja Davidsdottir,27,169 cm,152 lb
23,174547,Amanda Barnhart,28,67 in,160 lb
24,120277,Sabrina Caron,28,161 cm,58 kg
25,239148,Carolyne Prevost,30,63 in,145 lb
26,264813,Manon Lesur,29,163 cm,145 lb
27,534577,Melina Rodriguez,24,156 cm,138 lb
28,472971,Emma Chapman,32,62 in,130 lb
29,225443,Taylor Williamson,26,69 in,160 lb
30,115892,Meg Reardon,28,66 in,150 lb
31,671666,Haley Adams,19,67 in,140 lb
32,887297,Emma Tall,28,168 cm,68 kg
33,683305,Sara Alicia Fernandez Costas,30,159 cm,63 kg
34,513420,MaryKay Dreisilker,30,63 in,150 lb
35,1187609,Sasha Nievas,22,156 cm,61 kg
36,349097,Danielle Brandon,24,170 cm,155 lb
37,21556,Madeline Sturt,23,159 cm,63 kg
38,455677,Larissa Cunha,29,153 cm,62 kg
39,279929,Rachel Garibay,28,5 in,130 lb
40,208293,Alexis Johnson,29,62 in,140 lb
41,831149,Matilde Garnes,24,174 cm,68 kg
42,50017,Jaime Goodwin,27,156 cm,57 kg
43,37537,Alessandra Pichelli,34,66 in,155 lb
44,592472,Bethany Shadburne,26,64 in,144 lb
45,387995,Stephanie Chung,28,65 in,150 lb
46,656004,Christine Kolenbrander,28,66 in,154 lb
47,39517,Emilia Leppanen,33,165 cm,150 lb
48,330548,Jimena Delamer,38,164 cm,63 kg
49,1306393,Olivia Sulek,16,65 in,155 lb
50,8015,Rebecca Voigt Miller,39,69 in,152 lb
51,27975,Chyna Cho,33,68 in,148 lb
52,149475,Tasia Percevecz,29,65 in,160 lb
53,623803,Emelie Lundberg,30,162 cm,62 kg
54,531598,Paige Semenza,28,63 in,143 lb
55,293492,Alexys D'Tiole,29,66 in,150 lb
56,235110,Taylor Streid,29,65 in,140 lb
57,16173,Jessica Coughlan,31,166 cm,145 lb
58,2099,Harriet Roberts,28,171 cm,149 lb
59,1028410,Kelly Stone,29,65 in,150 lb
60,13179,Paige Henry,30,64 in,145 lb
61,19501,Thuridur Erla Helgadottir,28,164 cm,59 kg
62,290824,Alison Stall,32,67 in,153 lb
63,617739,Melissa Doll,27,69 in,173 lb
64,1738753,Alethea Boon,36,,
65,686626,Manon Angonese,27,163 cm,66 kg
66,12336,Kelley Jackson,36,62 in,130 lb
67,228939,Anastasiya Marino,34,67 in,145 lb
68,314703,Caroline Conners,27,61 in,133 lb
69,259885,Tammi Robinson,27,172 cm,74 kg
70,762495,Elena Carratala Sanahuja,26,164 cm,63 kg
71,514514,Charlotte Spence,33,62 in,66 kg
72,695821,Julie Hougård,28,173 cm,70 kg
73,141620,Alex Parker,30,66 in,142 lb
74,51125,Megan Lovegrove,31,158 cm,65 kg
75,968237,Ekaterina Makarova,27,175 cm,71 kg
76,117591,Caroline Dardini,28,61 in,124 lb
77,594929,Tayla Howe,23,165 cm,75 kg
78,252691,Feeroozeh Saghafi,25,62 in,135 lb
79,1547449,Emma Cary,16,64 in,140 lb
80,242149,Brenda Castro,31,2 cm,139 lb
81,99140,Breona Evans,29,61 in,125 lb
82,1136909,Tori Dyson,25,60 in,140 lb
83,330326,Carole Castellani,31,170 cm,70 kg
84,679755,Louise Wickström,30,162 cm,67 kg
85,238632,Emily Tanner,31,67 in,160 lb
86,116926,Karine Shrum,31,172 cm,155 lb
87,161037,Caileigh McDade,31,63 in,135 lb
88,664900,Nicole Gibson-Burke,27,63 in,125 lb
89,107222,Hanna Venemyr,28,172 cm,
90,238026,Anastasiya Ganina,35,170 cm,69 kg
91,1018713,Laura Clifton,25,162 cm,75 kg
92,272273,Mia Hesketh,30,168 cm,67 kg
93,663979,Sona Karaskova,32,167 cm,68 kg
94,243915,Ariadna Argoitia,38,,121 lb
95,152663,Alison Scudds,27,63 in,140 lb
96,466656,Andrea Solberg,24,164 cm,135 lb
97,252266,Leah Irons,28,64 in,140 lb
